ID OSM,Nome cima,Quota cima,Tag altitudine,Valle,Catena,Provincia
1434651017,Cima di Fremamorta / Cime de Frémamorte,2731,2500+,Valle Gesso,Alpi Marittime,CN
2147984520,Tête de Clos Lapierre,2730,2500+,Valle non classificata,Gruppo non classificato,TO
2195666377,Berretta del Vescovo,2730,2500+,Valle non classificata,Gruppo non classificato,VC
8212805250,Pizzo di Pianboglio,2730,2500+,Val d'Ossola,Alpi Lepontine,VB
5848371383,Guglie di Cornera,2729,2500+,Val d'Ossola,Alpi Lepontine,VB
6454082003,Corno di Cramec,2729,2500+,Val d'Ossola,Alpi Lepontine,VB
5140912564,Cima della Freghera,2728,2500+,Val d'Ossola,Alpi Lepontine,VB
5306033528,Monte Gran Barà,2728,2500+,Val Chisone,Alpi Cozie Sud,TO
648758455,Cima delle Manse / Tête de Villadel,2727,2500+,Valle Maira,Alpi Cozie Sud,CN
307153980,Cima Morticci,2726,2500+,Valle Cervo,Alpi Biellesi,VC
5306386391,Monte Querellet,2726,2500+,Val Chisone,Alpi Cozie Sud,TO
648758489,Bric Content,2722,2500+,Valle Maira,Alpi Cozie Sud,CN
1802149102,Pelvo Chiausis,2722,2500+,Valle Varaita,Alpi Cozie Sud,CN
3752976499,Rocca del Forno,2722,2500+,Val di Susa,Alpi Cozie Nord,TO
1801169486,Punta Sea Bianca,2721,2500+,Val Pellice,Alpi Cozie Sud,TO
5474329937,Punta della Scatta,2720,2500+,Val d'Ossola,Alpi Lepontine,VB
4332019712,Gorgia Cagna,2718,2500+,Valle Stura di Demonte,Alpi Marittime,CN
11930057762,Monte Malatret,2718,2500+,Valli di Lanzo,Alpi Graie,TO
6504099625,Punta del Briccas,2717,2500+,Valle Stura di Demonte,Alpi Marittime,CN
6048455742,Rocca Nera,2716,2500+,Val Pellice,Alpi Cozie Sud,TO
9138049787,Colma del Lago,2716,2500+,Valle non classificata,Gruppo non classificato,VC
4717336825,Cima di Ciriegia / Cime de Cerise,2714,2500+,Valle Gesso,Alpi Marittime,CN
1373129649,Pizzo Straciugo,2713,2500+,Val d'Ossola,Alpi Lepontine,VB
